__timestamp,location_name,latitude,longitude,PM2.5
20-12-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,123.9445833
23-12-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.9388889
13-04-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.9304348
07-02-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.8435849
28-10-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,123.8148148
20-02-2018,"Nishant Ganj, Lucknow - UPPCB",26.871428,80.957145,123.7777778
22-11-2019,"Central School, Lucknow - CPCB",26.8821003,80.9302753,123.7353191
26-06-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.7226316
18-02-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.6498039
29-04-2021,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.6392523
23-01-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.5815625
24-10-2021,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.5640741
02-11-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,123.4753125
07-04-2018,"Central School, Lucknow - CPCB",26.8821003,80.9302753,123.4
04-11-2021,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579,123.3246
20-02-2020,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.2708434
21-11-2019,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,123.2473118
01-03-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.1224719
16-10-2019,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,123.1222222
12-05-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.0321053
08-11-2021,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,123.0135849
25-04-2019,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,123.0051163
17-05-2018,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,122.9691667
06-01-2021,"Gomti Nagar, Lucknow - UPPCB",26.86812,81.005119,122.8947368
27-05-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,122.8547368
22-05-2020,"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,122.8326316
08-10-2018,"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,122.75375
